"attr","byline","corporate","individual","quote","updated"
"","Origen, 184–253","Let us pray that Jesus may reign over us and that our land may be at peaceâ€” that our bodies may be free from the assaults of fleshly desires. When these have ceased, we shall be able to rest, beneath our vines, our fig-trees and our olives.","I pray that Jesus may reign over me and that my land may be at peaceâ€” that my body may be free from the assaults of fleshly desires. When these have ceased, I shall be able to rest, beneath my vines, fig-trees and olives.","Let us pray that Jesus may reign over us and that our land may be at peaceâ€” that our bodies may be free from the assaults of fleshly desires. When these have ceased, we shall be able to rest, beneath our vines, our fig-trees and our olives.",""
"","St. Ignatius of Loyola, 1491–1556","","","Grant, O Lord, that you love may so fill our lives that we may count nothing too small to do for you, nothing too much to give, and nothing too hard to bear, for Jesus Christ's sake.
Amen.",""
"From _Thou, Dear God: Prayers That Open Hearts and Spirits_, a collection of Dr. King's prayers edited by Lewis V. Baldwin","Dr. Martin Luther King, Jr.","","","God grant that we wage the struggle with dignity and discipline. May all who suffer oppression in this world reject the self-defeating method of retaliatory violence and choose the method that seeks to redeem.",""
"The Message is a registered trademark of NavPress, The Navigators.","Proverbs 3:3 (The Message)","Don't let us lose grip on Love and Loyalty.
Tie them around our necks; carve their initials on our hearts.
Help us earn reputations for living well
in Your eyes and the eyes of other people.","Don't let me lose grip on Love and Loyalty.
Tie them around my neck; carve their initials on my heart.
Help me earn a reputation for living well
in Your eyes and the eyes of other people.","Don't lose your grip on Love and Loyalty.
Tie them around your neck; carve their initials on your heart.
Earn a reputation for living well
in God's eyes and the eyes of the people.",""
"","An Ancient Collect, 5th Century","","","Grant to us, Lord, We ask You, the spirit to think and do always such things as be rightful; that we, who cannot do anything that is good without You, may by You be enabled to live according to Your will; through Jesus Christ our Lord.",""
"","John R. W. Stott, 1921–2011","","","O Lord Jesus Christ,
who at the carpenter's bench manifested the dignity of honest labor,
and gives to each of us our tasks to perform,
help us to do our weekday work with readiness of mind and singleness of heart,
not with an eye-service as men-pleasers,
but as your servants, laboring heartily for you and not for men,
so that whatever we do, great or small, may be to the glory of your holy name.
Amen.",""
"","Karl Barth, 1886–1968","O Lord, our Father!
Our hearts are filled with somber thoughts as we reflect on our misdeeds of the past year. And our ears are deafened by the voices of the numerous predictions for the coming year.
Instead we want to hear your word, your voice, your assurance, your guidance. We know that you are in our midst, and are eager to give us all that we need, whether we ask or not.
We ask for one thing only: that you collect our scattered thoughts, getting rid of the confused and defiant thoughts that may distract us, and thus enable us to concentrate on your limitless generosity to us. You were abundantly generous to us last year, and will be no less generous to us next year, and in every year to come. Fill us with gratitude to you.
Amen.","O Lord, our Father!
My heart is filled with somber thoughts as I reflect on my misdeeds of the past year. And my ears are deafened by the voices of the numerous predictions for the coming year.
Instead I want to hear your word, your voice, your assurance, your guidance. I know that you are in my midst, and are eager to give me all that I need, whether I ask or not.
I ask for one thing only: that you collect my scattered thoughts, getting rid of the confused and defiant thoughts that may distract me, and thus enable me to concentrate on your limitless generosity to me. You were abundantly generous to me last year, and will be no less generous to me next year, and in every year to come. Fill me with gratitude to you.
Amen.","O Lord, our Father!
Our hearts are filled with somber thoughts as we reflect on our misdeeds of the past year. And our ears are deafened by the voices of the numerous predictions for the coming year.
Instead we want to hear your word, your voice, your assurance, your guidance. We know that you are in our midst, and are eager to give us all that we need, whether we ask or not.
We ask for one thing only: that you collect our scattered thoughts, getting rid of the confused and defiant thoughts that may distract us, and thus enable us to concentrate on your limitless generosity to us. You were abundantly generous to us last year, and will be no less generous to us next year, and in every year to come. Fill us with gratitude to you.
Amen.",""
"From _Morning Prayer For Fellow-Prisoners_","Dietrich Bonhoeffer, 1906– 1945","","","O Holy Spirit,
Give me faith that will protect me
from despair, from passions, and from vice;
Give me such love for God and men
as will blot out all hatred and bitterness;
Give me the hope that will deliver me
from fear and faint-heartedness.",""
"","Hilary of Poitiers, 310–367","Although we are dust and ashes, Lord, we are tied to you by bonds of love. Therefore we feel we can speak freely to you. Before we came to know you, we were nothing. We did not know the meaning of life, and we had no understanding of ourselves. We have no doubt that you had a purpose in causing us to be born; yet you had no need of us, and on our own we were of no use to you. But then you decided that we should hear the words of your Son, Jesus Christ. And that as we heard his words, you enabled his love to penetrate our hearts. Now we are completely saturated in his love and faith, and there is no remedy. Now, Lord, we cannot change our attitude of faith; we can only die for it.
Amen.","Although I am dust and ashes, Lord, I am tied to you by bonds of love. Therefore I feel I can speak freely to you. Before I came to know you, I was nothing. I did not know the meaning of life, and I had no understanding of myself. I have no doubt that you had a purpose in causing me to be born; yet you had no need of me, and on my own I was of no use to you. But then you decided that I should hear the words of your Son, Jesus Christ. And that as I heard his words, you enabled his love to penetrate my heart. Now I am completely saturated in his love and faith, and there is no remedy. Now, Lord, I cannot change my attitude of faith; I can only die for it.
Amen.","Although I am dust and ashes, Lord, I am tied to you by bonds of love. Therefore I feel I can speak freely to you. Before I came to know you, I was nothing. I did not know the meaning of life, and I had no understanding of myself. I have no doubt that you had a purpose in causing me to be born; yet you had no need of me, and on my own I was of no use to you. But then you decided that I should hear the words of your Son, Jesus Christ. And that as I heard his words, you enabled his love to penetrate my heart. Now I am completely saturated in his love and faith, and there is no remedy. Now, Lord, I cannot change my attitude of faith; I can only die for it.
Amen.",""
"Scripture quotations marked (NLT) are taken from the Holy Bible, New Living Translation, copyright Â©1996, 2004, 2015 by Tyndale House Foundation. Used by permission of Tyndale House Publishers, Carol Stream, Illinois 60188. All rights reserved.","Galatians 5:25 (NLT)","","","Since we are living by the Spirit, let us follow the Spirit's leading in every part of our lives.",""
"Scripture quotations marked (NLT) are taken from the Holy Bible, New Living Translation, copyright Â©1996, 2004, 2015 by Tyndale House Foundation. Used by permission of Tyndale House Publishers, Carol Stream, Illinois 60188. All rights reserved.","2 Corinthians 13:14 (NLT)","","","May the grace of the Lord Jesus Christ, the love of God, and the fellowship of the Holy Spirit be with you all.",""
"","St. Clement of Alexandria, 150–215","May we all live in the peace that comes from You. May we journey towards Your city, sailing through the waters of sin untouched by the waves, borne tranquilly along by the Holy Spirit, Your Wisdom beyond all telling. Night and day until the last day of all, may our praises give You thanks, our thanksgiving praise You: You who alone are both Father and Son, Son and Father, the Son who is our Tutor and our Teacher, together with the Holy Spirit.","May I live in the peace that comes from You. May I journey towards Your city, sailing through the waters of sin untouched by the waves, borne tranquilly along by the Holy Spirit, Your Wisdom beyond all telling. Night and day until the last day of all, may my praises give You thanks, my thanksgiving praise You: You who alone are both Father and Son, Son and Father, the Son who is my Tutor and my Teacher, together with the Holy Spirit.","May we all live in the peace that comes from You. May we journey towards Your city, sailing through the waters of sin untouched by the waves, borne tranquilly along by the Holy Spirit, Your Wisdom beyond all telling. Night and day until the last day of all, may our praises give You thanks, our thanksgiving praise You: You who alone are both Father and Son, Son and Father, the Son who is our Tutor and our Teacher, together with the Holy Spirit.",""
"From _Morning Prayer For Fellow-Prisoners_","Dietrich Bonhoeffer, 1906– 1945","","","You know all man's troubles;
You abide with me when all men fail me;
You remember and seek me;
It's your will that I should know you and turn to you.
Lord, I hear your call and follow;
Help me.",""
"Scripture quotations marked (NIV) are taken from the Holy Bible, New International Version®, NIV®. Copyright © 1973, 1978, 1984, 2011 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIV” and “New International Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","1 Thessalonians 3:12-13 (NIV)","May the Lord make your love grow. May it be like a rising flood. May your love for one another increase. May it also increase for everyone else. May it be just like our love for you. May the Lord give you strength in your hearts. Then you will be holy and without blame in the sight of our God and Father. May that be true when our Lord Jesus comes with all his holy ones.","May the Lord make my love grow. May it be like a rising flood. May your love for one another increase. May it also increase for everyone else. May it be just like our love for you. May the Lord give you strength in your hearts. Then you will be holy and without blame in the sight of our God and Father. May that be true when our Lord Jesus comes with all his holy ones.","May the Lord make your love grow. May it be like a rising flood. May your love for one another increase. May it also increase for everyone else. May it be just like our love for you. May the Lord give you strength in your hearts. Then you will be holy and without blame in the sight of our God and Father. May that be true when our Lord Jesus comes with all his holy ones.","8/1\/22"
"The Message is a registered trademark of NavPress, The Navigators.","Philippians 4:23 (The Message)","","","Receive and experience the amazing grace of the Master, Jesus Christ, deep, deep within yourselves.",""
"Scripture quotations marked (NIV) are taken from the Holy Bible, New International Version®, NIV®. Copyright © 1973, 1978, 1984, 2011 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIV” and “New International Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","Isaiah 12:1-2 (NIV)","","","I will praise you, Lord.
Although you were angry with me,
your anger has turned away
and you have comforted me.
Surely God is my salvation;
I will trust and not be afraid.
The Lord, the Lord himself, is my strength and my defense;
he has become my salvation.",""
"","The Divine Liturgy of St. John Chrysostom","","","Shine within our hearts, loving Master, the pure light of Your divine knowledge and open the eyes of our minds that we may comprehend the message of your Gospel. Instill in us, also, reverence for Your blessed commandments, so that having conquered sinful desires, we may pursue a spiritual life, thinking and doing all those things that are pleasing to You. For You, Christ our God, are the light of our souls and bodies, and to You we give glory together with Your Father who is without beginning and Your all holy, good, and life giving Spirit, now and forever and to the ages of ages. Amen.",""
"Scripture quotations marked (NIV) are taken from the Holy Bible, New International Version®, NIV®. Copyright © 1973, 1978, 1984, 2011 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIV” and “New International Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","Psalm 89:52 (NIV)","","","Praise be to the Lord forever! 
Amen and Amen.",""
